ID,Excerpt,Feature,SubFeature,GoldSummary,bart_summary
1.0,I might have seen him in the lobby,Hedge,Modal verb,The deponent says they might have seen him in the lobby,I might have seen him in the lobby. I might have saw him in a lobby.
2.0,I probably saw the car at the intersection,Hedge,Adverbial hedge,The deponent states they probably saw the car at the intersection,I probably saw the car at the intersection. I probably saw it at the end of the street.
3.0,I don't know if the door was locked,Hedge,Phrase hedge,The deponent says they don't know if the door was locked,I don't know if the door was locked. I don't think it was.
4.0,It seems the file was misplaced,Hedge,Lexical hedge,The deponent indicates it seems the file was misplaced,It seems the file was misplaced. It seems the files were misplaced in the first place.
5.0,I think he was present that day,Hedge,Phrase hedge,The deponent thinks he was present that day,I think he was present that day. I think I saw him. I don't know where he was.
6.0,there is likely a discrepancy in the report,Hedge,Adverbial hedge,The deponent suggests there is likely a discrepancy in the report,there is likely a discrepancy in the report. There is likely an error in the way the report was compiled.
7.0,he wouldn't remember the details,Hedge,Modal verb,The deponent says he wouldn't remember the details,he wouldn't remember the details. He wouldn't even remember the names of the people he was with.
8.0,maybe the document is outdated,Hedge,Discourse marker,The deponent posits maybe the document was outdated,maybe the document is outdated.maybe the documents are outdated. maybe the document was written in the 1990s.
9.0,She possibly left before noon,Hedge,Adverbial hedge,The deponent indicates she possibly left before noon,She possibly left before noon on Saturday. She was seen in the crowd with a large group of people.
10.0,I assume the meeting was postponed.,Hedge,Phrase hedge,The deponent states that they assume the meeting was postponed.,I assume the meeting was postponed. I'm not sure what's going to happen next.
11.0,It could be that the email got lost.,Hedge,Modal verb,The deponent states that it could be that the email got lost.,It could be that the email got lost. It could also be that it was sent to the wrong person.
12.0,Perhaps they misplaced the file.,Hedge,Discourse marker,The deponent states that perhaps they misplaced the file.,Perhaps they misplaced the file. Maybe they just didn't know what to do with it.
13.0,I suspect he might have left early.,Hedge,Phrase hedge,The deponent states that they suspect he might have left early.,"I suspect he might have left early. I suspect he may have even left early, too."
14.0,I reckon she was unaware.,Hedge,Phrase hedge,The deponent states that they reckon she was unaware.,I reckon she was unaware. I reckon she's unaware. She was unaware she was in the wrong place at the wrong time.
15.0,It appears they didn’t receive the notice.,Hedge,Lexical hedge,The deponent states that it appears they didn’t receive the notice.,It appears they didn’t receive the notice. It appears they weren’tsh.
16.0,They seem to have forgotten the deadline.,Hedge,Lexical hedge,The deponent states that they seem to have forgotten the deadline.,"They seem to have forgotten the deadline. They seem to be forgetting the deadline, too."
17.0,I would say the report is incomplete.,Hedge,Phrase hedge,The deponent states that they would say the report is incomplete.,"I would say the report is incomplete. I would say it is incomplete, he says."
18.0,I bet the date has changed.,Hedge,Phrase hedge,The deponent states that they bet the date has changed.,I bet the date has changed. I bet it's been a long time since I've seen you.
19.0,I’m not entirely certain.,Hedge,Phrase hedge,The deponent states that they aren’t entirely certain.,I’m not entirely certain. I’ve never seen it before. It’s a bit of a mystery.
,,,,,No content. No content. no content. Please submit your own photos. Visit CNN.com/sport.
20.0,"“If she can testify tomorrow, the court will proceed.”",Conditional,Real,"“The deponent says that if she can testify tomorrow, the court will proceed.”","“If she can testify tomorrow, the court will proceed,” says the judge."
21.0,"“If they will arrive on time, we can start the meeting.”",Conditional,Real,"“The deponent states that if they will arrive on time, we can start the meeting.”","“If they will arrive on time, we can start the meeting,” he said."
22.0,"“If it is raining, the event moves indoors.”",Conditional,Real,"“The deponent explains that if it is raining, the event moves indoors.”","“If it is raining, the event moves indoors.” says the event’s founder."
23.0,"“If you could provide the documents, I’d appreciate it.”",Conditional,Real,"“The deponent requests that if you could provide the documents, they would appreciate it.”","“If you could provide the documents, I’d appreciate it.”"
24.0,"“If we are late, they will leave without us.”",Conditional,Real,"“The deponent warns that if we are late, they will leave without us.”","“If we are late, they will leave without us,” says the coach."
25.0,"“If he had known the truth, he would have acted differently.”",Conditional,Unreal,"“The deponent says that if he had known the truth, he would have acted differently.”","“If he had known the truth, he would have acted differently,” says the victim's mother."
26.0,"“If they would have informed me, I could have prepared.”",Conditional,Unreal,"“The deponent explains that if they would have informed them, they could have prepared.”","“If they would have informed me, I could have prepared.” “I could have been prepared,” he said."
27.0,"“If she had seen the sign, she wouldn’t have entered.”",Conditional,Unreal,"“The deponent states that if she had seen the sign, she wouldn’t have entered.”","“If she had seen the sign, she wouldn’t have entered.”"
28.0,"“If we had taken a taxi, we wouldn’t have been late.”",Conditional,Unreal,"“The deponent reports that if we had taken a taxi, we wouldn’t have been late.”","“If we had taken a taxi, we wouldn’t have been late.”"
