ID,Excerpt,Feature,SubFeature,GoldSummary,gpt_default,gpt_feature_preserving,gpt_legal_context,gpt_bias_aware
1.0,I might have seen him in the lobby,Hedge,Modal verb,The deponent says they might have seen him in the lobby,The person giving the deposition testified that they may have seen the individual in question in the lobby.,The witness mentioned that they think they possibly saw him in the lobby.,"The witness expressed uncertainty by stating ""I might have seen him in the lobby.""",I think I maybe saw him in the lobby.
2.0,I probably saw the car at the intersection,Hedge,Adverbial hedge,The deponent states they probably saw the car at the intersection,The witness testified that they likely saw the car at the intersection.,The deponent testified that they think they probably saw the car at the intersection.,"The witness stated that they ""probably"" saw the car at the intersection.",I think I might have seen the car at the intersection.
3.0,I don't know if the door was locked,Hedge,Phrase hedge,The deponent says they don't know if the door was locked,The person testifying is unsure whether the door was locked.,"The witness expressed uncertainty about whether the door was locked, stating, ""I don't know if the door was locked.""","The deponent expressed uncertainty regarding the status of the door, stating ""I don't know if the door was locked.""",The speaker unsure if the door was locked.
4.0,It seems the file was misplaced,Hedge,Lexical hedge,The deponent indicates it seems the file was misplaced,The testimony indicates that the file was misplaced.,The witness stated that it seems like the file may have been misplaced.,The witness stated that it appears the file may have been misplaced.,"The file, like, got lost or something."
5.0,I think he was present that day,Hedge,Phrase hedge,The deponent thinks he was present that day,The testimony indicates that the speaker believes the person in question was present on a specific day.,The witness stated that he thinks the person in question was possibly present on that particular day.,The deponent expressed uncertainty about the presence of the individual on the specified day.,"The person, like, I think he, like, was there that day."
6.0,there is likely a discrepancy in the report,Hedge,Adverbial hedge,The deponent suggests there is likely a discrepancy in the report,The deposition testimony suggests that there may be a discrepancy in the report being discussed.,The witness testified that there might be a discrepancy in the report.,The witness stated that there is likely a discrepancy in the report.,The report might have some differences.
7.0,he wouldn't remember the details,Hedge,Modal verb,The deponent says he wouldn't remember the details,The person being deposed stated that they would not remember the specific details.,The deponent stated that he might not remember the details.,The witness indicated uncertainty about their ability to recall specific details.,"He, like, wouldn't really remember all the, you know, details and stuff."
8.0,maybe the document is outdated,Hedge,Discourse marker,The deponent posits maybe the document was outdated,The deposition testimony suggests that the document in question may be outdated.,The witness suggested that the document could be outdated.,"The legal deposition excerpt may be outdated, but it contains important information for case review. It is crucial to consider all uncertainty markers, hedges, and speech patterns as they could impact the credibility and accuracy of the witness testimony.",The document might be old.
9.0,She possibly left before noon,Hedge,Adverbial hedge,The deponent indicates she possibly left before noon,The person may have left before noon.,The witness testified that she thinks she might have left before noon.,The witness indicated that it is possible that she left before noon.,"She, like, maybe left before noon."
10.0,I assume the meeting was postponed.,Hedge,Phrase hedge,The deponent states that they assume the meeting was postponed.,The person believes that the meeting was postponed.,The deponent stated that they assume the meeting was postponed.,The deponent assumes that the meeting was postponed.,"The meeting, I think, got postponed."
11.0,It could be that the email got lost.,Hedge,Modal verb,The deponent states that it could be that the email got lost.,The testimony suggests that there is a possibility that the email was lost.,The witness suggested that it is a possibility that the email may have gotten lost.,The witness expressed uncertainty by stating that it is possible that the email may have been lost.,"Maybe the email, like, got lost or something."
12.0,Perhaps they misplaced the file.,Hedge,Discourse marker,The deponent states that perhaps they misplaced the file.,The testimony suggests that there may have been a file that was misplaced.,It is possible that the file was misplaced.,The witness suggested that it is possible that the file was misplaced.,"It's like, maybe they, um, lost the file or something."
