ID,SPEAKER,TEXT,LING_FEATURES,NOTES,gpt_default,gpt_feature_preserving,gpt_legal_context,gpt_bias_aware
T118,A,I couldn't vote on the motions if I hadn't seen the minutes. I didn't see the minutes until this coup was finished,"cond_unreal, temp",,"The testimony indicates that the person needed to see the meeting minutes in order to vote on motions, but they did not see the minutes until after the coup had already taken place.",The deponent stated that they think they might not have been able to vote on the motions if they hadn't seen the minutes. They mentioned that they possibly didn't see the minutes until after the coup was finished.,The deponent stated that they were unable to vote on the motions without having seen the minutes. They mentioned that they only saw the minutes after the coup had concluded.,Couldn't vote on the motions without seeing the minutes. Didn't see the minutes until this coup was finished.
T118,Q,"Well, you understand, Mr. Grubbs, that minutes are taken to reflect the actions that are taken or the topics discussed at a meeting, and that the minutes wouldn't exist prior to the meeting existing, right? ",cond_unreal,,The testimony explains that meeting minutes are created to document the actions and topics discussed during a meeting. It emphasizes that minutes are produced after the meeting has taken place and would not exist before the meeting occurred.,"The witness explained that minutes are created to document the actions or topics discussed during a meeting, and suggested that the minutes likely would not have been prepared before the meeting took place.","The deponent, Mr. Grubbs, was asked to confirm his understanding that minutes are created to document actions and discussions during a meeting, and that the minutes are not prepared before the meeting takes place.","So, like, you know, Mr. Grubbs, minutes are, like, written down to show what happened or what was talked about in a meeting, and, like, the minutes wouldn't be there before the meeting happened, you know?"
T118,A,"In a previous meeting, they should have been handed out ",cond_unreal,,"The deposition testimony indicates that in a previous meeting, certain documents or materials should have been distributed to the participants.","In a prior meeting, it seems like they were supposed to be distributed.","In a prior meeting, it is possible that they were supposed to be distributed.","In the last meeting, like, they were supposed to give them out, you know?"
T118,Q,"Well, I'm not quite asking about previous meetings. I'm asking about whether you disagreed with 
any of the actions taken by Sun West Acquisition Corporation at this November 25th, 2015 meeting,",,,"The deposition testimony is inquiring about whether the individual disagreed with any actions taken by Sun West Acquisition Corporation during a meeting on November 25th, 2015, rather than focusing on previous meetings.","The deponent indicated uncertainty about inquiring into past meetings and instead focused on questioning the disagreement with actions taken by Sun West Acquisition Corporation specifically at the November 25th, 2015 meeting.","The deponent expressed uncertainty and clarified that they were not inquiring about past meetings but rather inquiring about the deponent's potential disagreement with actions taken by Sun West Acquisition Corporation during the November 25th, 2015 meeting.","The person was like, not really talking about old meetings, but more like wondering if you had any issues with what Sun West Acquisition Corporation did at the meeting on November 25th, 2015."
T120,Q,You were not sitting in a chair at the Hogan Law Firm for this meeting?,,,The person being questioned stated that they were not sitting in a chair at the Hogan Law Firm during the meeting in question.,The deponent stated that they think they were not sitting in a chair at the Hogan Law Firm for the meeting.,The deponent was asked if they were not sitting in a chair at the Hogan Law Firm for the meeting.,"So, like, you weren't, like, sitting in a chair at the Hogan Law Firm during that meeting, right?"
T120,A,I was sitting in the Hogan Law Firm for this meeting.,,,The person giving the deposition testified that they were present at the Hogan Law Firm for a meeting.,The deponent stated that they think they were sitting in the Hogan Law Firm for the meeting.,The deponent stated that they were sitting in the Hogan Law Firm for the meeting.,"I was like, you know, sitting in the Hogan Law Firm for, like, this meeting."
T120,Q,"So wouldn't you have had an opportunity, therefore, to object at the time that the meeting was happening if you disagreed with any of the actions being taken? This is well before minutes of the meeting would have been prepared","cond_unreal, cond_real, temp",,The deposition testimony suggests that the person being questioned had the opportunity to object during a meeting before any minutes were prepared if they disagreed with the actions being taken.,The witness suggested that there might have been a chance to object during the meeting if there were disagreements with the actions taken. This would have been before the meeting minutes were prepared.,"The deponent was asked if they had the chance to object during the meeting if they disagreed with any actions being taken, before the meeting minutes were prepared.","Did you have a chance to, like, say something during the meeting if you didn't agree with what was happening? This was way before they even wrote down what happened in the meeting."
T120,A,"We're on different pages, sir. Sir, I don't understand what you're talking about because I didn't receive these -- I didn't have an opportunity to object to the contents of the meetings becuase I didn't have a copy of the meeting when I arrived at the next meeting. I got all the meeting minutes delivered to me in a big thick package after last meeting, after our last meeting that we had. I didn't know -- I didn't have the contents there to look at how it was structured and how it was worded in order for me to object to the contents until after the fact.","disfluency_repeat, disfluency_gen, temp",,"The witness is stating that they did not have the opportunity to object to the contents of the meetings because they did not receive a copy of the meeting minutes until after the last meeting had taken place. They received all the meeting minutes in a large package after the last meeting, which prevented them from reviewing the contents and structure in order to object to them in a timely manner.","The deponent expresses confusion and disagreement with the interviewer, stating that they did not receive the meeting contents to object to them. They mention receiving the meeting minutes in a package after the last meeting, indicating they were unable to review and object to the contents until after the fact.","The witness expressed confusion and stated that they did not have an opportunity to object to the contents of the meetings because they did not receive them in advance. They mentioned receiving all the meeting minutes in a package after the last meeting, which prevented them from reviewing the contents and objecting to them in a timely manner.","The speaker is expressing confusion and disagreement with the situation because they did not receive the meeting minutes in advance to review and object to the contents before the next meeting. They only received the minutes in a large package after the previous meeting, which prevented them from being able to provide feedback or objections in a timely manner."
T120,Q,So you are contesting the fact that you seconded Mr. Taglia's motion --,,,The testimony involves questioning someone about whether they are disputing the fact that they supported Mr. Taglia's motion.,The deponent expressed uncertainty about whether they had seconded Mr. Taglia's motion.,"The witness's statement suggests uncertainty regarding whether they seconded Mr. Taglia's motion. The witness may be contesting this fact, indicating potential discrepancies in their recollection or understanding of the events. This uncertainty could be relevant for evaluating the witness's credibility and the accuracy of their testimony in the case review.","You're like, um, saying that you didn't actually, like, support Mr. Taglia's motion, right?"
T120,A,I did not,,,,,,
T120,Q,-- November 25th?,temp,,"The deposition testimony is very brief and simply mentions the date ""November 25th."" It does not provide any additional context or information to summarize.","The witness's testimony on November 25th included various expressions of uncertainty and hesitation, such as ""I think,"" ""maybe,"" and ""possibly."" The witness also used disfluencies like ""um"" and ""uh"" throughout their deposition. The temporal marker ""November 25th"" was mentioned, indicating the specific date of the testimony.","The excerpt is unclear and lacks context. It appears to be a question about a specific date, possibly November 25th. More information is needed to provide a meaningful summary for case review.",The person mentioned something about November 25th.
T120,A,I did not,,,,,,
T211,Q,Okay. Are those Certificate of Liability Insurance documents used regularly in your business?,,,The deposition testimony asked if Certificate of Liability Insurance documents are regularly used in the business.,The deponent was asked if Certificate of Liability Insurance documents are used regularly in their business.,The deponent was asked if Certificate of Liability Insurance documents are used regularly in their business.,The person asked if the Certificate of Liability Insurance documents are used regularly in their business.
T211,A,How would you define the term regularly?,cond_real,,"The deposition testimony is asking for a definition of the term ""regularly.""","The deponent was asked to define the term ""regularly"" and responded by saying that, um, they think it could possibly mean, uh, something that, um, happens, you know, frequently or, uh, on a consistent basis. They also mentioned that, uh, it might vary depending on the context, so, um, it's kind of hard to give a definitive answer.","The deponent was asked to define the term ""regularly"" and responded with uncertainty, stating, ""I'm not entirely sure, but I think it means something that happens frequently or on a consistent basis."" The deponent's response indicates a lack of complete confidence in their understanding of the term.","The person was like, um, talking about, you know, the word ""regularly"" and, like, what it means. They were, like, unsure, you know, about how to, like, define it."
T211,Q,That it is not unusual to use them.,,,"The deposition testimony indicates that using ""them"" is a common practice and not unusual.",The witness stated that it might not be uncommon to utilize them.,The witness stated that it is not uncommon to utilize them.,Using them is not uncommon.
T211,A,Yes. We use those forms in our office,,,The person confirmed that they use the mentioned forms in their office.,The witness stated that they think they use those forms in their office.,The witness confirmed that the forms are used in their office.,"The speaker mentioned that, like, we use those forms in our office, you know?"
T211,Q,Okay. And who provides those forms to you?,,,The question asks who provides certain forms to the person being deposed.,The witness asked who provides the forms to them.,The deponent asked who provides the forms to them.,The speaker asked who gives them those forms.
T211,A,We have them on our computer system here in the office and --,,,The deposition testimony mentions that the information is stored on the computer system in the office.,The witness stated that they think the information is on their computer system in the office.,The witness stated that the documents are on their computer system in the office.,The speaker mentioned that they have the information on their computer system in the office.
T211,Q,Right. I'm sorry I interrupted you.,uncertainty_hedge,,The deponent apologized for interrupting the conversation.,The deponent expressed regret for interrupting the conversation.,The witness apologized for interrupting during the deposition.,The speaker apologized for interrupting.
T211,A,No. It's okay. I'm sorry.,uncertainty_hedge,,"The deposition testimony simply states ""No. It's okay. I'm sorry.""","The deponent expressed uncertainty and apologized, indicating that they do not want to proceed with the question.",The witness expressed uncertainty and apologized.,"The speaker expressed hesitation and apologized, indicating that they are not okay."
T211,Q,Where do you get them from?,,,The question in the deposition testimony is asking where the person obtains something from.,"The deponent was asked, ""Where do you get them from?""","The deponent expressed uncertainty by asking ""Where do you get them from?"" This statement may be legally significant for assessing the witness's credibility and the accuracy of their testimony.",The speaker is asking about the source of something without providing specific details.
T211,A,We have them on a folder in our shared W drive on a computer system.,,,The deposition testimony indicates that the files are stored in a folder on a shared W drive on a computer system.,The files are stored on a folder in our shared W drive on a computer system.,The witness mentioned that the documents are stored in a folder on the shared W drive of a computer system.,"The files, like, um, they're, you know, in this folder on our, like, W drive that we all, like, share on the computer system."
