ID,SPEAKER,TEXT,LING_FEATURES,NOTES
T118,A,I couldn't vote on the motions if I hadn't seen the minutes. I didn't see the minutes until this coup was finished,"cond_unreal, temp",
T118,Q,"Well, you understand, Mr. Grubbs, that minutes are taken to reflect the actions that are taken or the topics discussed at a meeting, and that the minutes wouldn't exist prior to the meeting existing, right? ",cond_unreal,
T118,A,"In a previous meeting, they should have been handed out ",cond_unreal,
T118,Q,"Well, I'm not quite asking about previous meetings. I'm asking about whether you disagreed with 
any of the actions taken by Sun West Acquisition Corporation at this November 25th, 2015 meeting,",,
T120,Q,You were not sitting in a chair at the Hogan Law Firm for this meeting?,,
T120,A,I was sitting in the Hogan Law Firm for this meeting.,,
T120,Q,"So wouldn't you have had an opportunity, therefore, to object at the time that the meeting was happening if you disagreed with any of the actions being taken? This is well before minutes of the meeting would have been prepared","cond_unreal, cond_real, temp",
T120,A,"We're on different pages, sir. Sir, I don't understand what you're talking about because I didn't receive these -- I didn't have an opportunity to object to the contents of the meetings becuase I didn't have a copy of the meeting when I arrived at the next meeting. I got all the meeting minutes delivered to me in a big thick package after last meeting, after our last meeting that we had. I didn't know -- I didn't have the contents there to look at how it was structured and how it was worded in order for me to object to the contents until after the fact.","disfluency_repeat, disfluency_gen, temp",
T120,Q,So you are contesting the fact that you seconded Mr. Taglia's motion --,,
T120,A,I did not,,
T120,Q,-- November 25th?,temp,
T120,A,I did not,,
T211,Q,Okay. Are those Certificate of Liability Insurance documents used regularly in your business?,,
T211,A,How would you define the term regularly?,cond_real,
T211,Q,That it is not unusual to use them.,,
T211,A,Yes. We use those forms in our office,,
T211,Q,Okay. And who provides those forms to you?,,
T211,A,We have them on our computer system here in the office and --,,
T211,Q,Right. I'm sorry I interrupted you.,uncertainty_hedge,
T211,A,No. It's okay. I'm sorry.,uncertainty_hedge,
T211,Q,Where do you get them from?,,
T211,A,We have them on a folder in our shared W drive on a computer system.,,
T211,Q,Okay. Do you know where the -- you're telling me where the certificates are kept and I'm grateful for that. Do you know where the certificates come from?,disfluency_correction,
T211,A,I don't know where they originated from. No.,uncertainty_hedge,
T211,Q,"Okay. In other words, when you run out of them do you know where to go and get them?",cond_real,
T211,A,In the folder that's on our computer. They're saved on our computer.,,
