ID,SPEAKER,TEXT,LING_FEATURES,NOTES,pegasus_summary
T118,A,I couldn't vote on the motions if I hadn't seen the minutes. I didn't see the minutes until this coup was finished,"cond_unreal, temp",,"The minutes of the vote on the motion of no confidence in the prime minister are now available on the government's website, www.parliament.gov.uk"
T118,Q,"Well, you understand, Mr. Grubbs, that minutes are taken to reflect the actions that are taken or the topics discussed at a meeting, and that the minutes wouldn't exist prior to the meeting existing, right? ",cond_unreal,,"In our series of letters from African-American journalists, film-maker and columnist Richard Grubbs looks at some of the questions he's been asked about the minutes of meetings held by the Tuskegee Airmen."
T118,A,"In a previous meeting, they should have been handed out ",cond_unreal,,"A series of mistakes have been made at the first meeting of the Northern Ireland Assembly's foreign affairs and defence committee, which was held in Belfast on Tuesday."
T118,Q,"Well, I'm not quite asking about previous meetings. I'm asking about whether you disagreed with 
any of the actions taken by Sun West Acquisition Corporation at this November 25th, 2015 meeting,",,,"On behalf of the Board of Directors of Sun West Acquisition Corporation, I would like to take this opportunity to ask you a series of questions about previous meetings."
T120,Q,You were not sitting in a chair at the Hogan Law Firm for this meeting?,,,You were not sitting in a chair at the Hogan Law Firm for this meeting?... you were not sitting in a chair at the Hogan Law Firm for this meeting?
T120,A,I was sitting in the Hogan Law Firm for this meeting.,,,"A few weeks ago I had the pleasure of attending a meeting of the British Chambers of Commerce in London, where they discussed the state of the economy and the prospects for growth."
T120,Q,"So wouldn't you have had an opportunity, therefore, to object at the time that the meeting was happening if you disagreed with any of the actions being taken? This is well before minutes of the meeting would have been prepared","cond_unreal, cond_real, temp",,The decision to hold a special meeting to decide on the future of Aberdeen City Council was taken unanimously by the council's full council on Tuesday night.
T120,A,"We're on different pages, sir. Sir, I don't understand what you're talking about because I didn't receive these -- I didn't have an opportunity to object to the contents of the meetings becuase I didn't have a copy of the meeting when I arrived at the next meeting. I got all the meeting minutes delivered to me in a big thick package after last meeting, after our last meeting that we had. I didn't know -- I didn't have the contents there to look at how it was structured and how it was worded in order for me to object to the contents until after the fact.","disfluency_repeat, disfluency_gen, temp",,"Here is the full text of the letter from Labour leader Jeremy Corbyn to Conservative leader David Cameron, in which he asks for an explanation of why he did not object to the contents of the Conservative Party's meeting minutes."
T120,Q,So you are contesting the fact that you seconded Mr. Taglia's motion --,,,"You are contesting the fact that you seconded Mr Taglia's motion, which was to introduce a motion of no confidence in the Prime Minister, and you are contesting the fact that you seconded it."
T120,A,I did not,,,
T120,Q,-- November 25th?,temp,,"BBC News NI looks back at some of the most memorable moments from this year's Belfast International Film Festival, which took place between 25 and 27 November."
T120,A,I did not,,,
T211,Q,Okay. Are those Certificate of Liability Insurance documents used regularly in your business?,,,How do you know if your business has the right insurance in place to protect you and your staff from legal action if you do get into legal trouble?
T211,A,How would you define the term regularly?,cond_real,,What do you think is the most common term used by people in the UK and the rest of the world when it comes to the internet and social media?
T211,Q,That it is not unusual to use them.,,,The BBC's science and technology correspondent Nick Triggle looks at some of the ways in which the internet has changed the way we communicate - including the use of social media.
T211,A,Yes. We use those forms in our office,,,Do you use the online forms on this page to report issues with our website?<n> The forms on this page can be used to report issues with our website.
T211,Q,Okay. And who provides those forms to you?,,,How do you get in touch with us if you have any questions or concerns about the forms we provide for you to fill out and send in to us?
T211,A,We have them on our computer system here in the office and --,,,"The BBC's Newsround team looks at some of the top stories of the week, starting with a look at the BBC Sport Personality of the Year awards."
T211,Q,Right. I'm sorry I interrupted you.,uncertainty_hedge,,"I'm sorry I interrupted you, but I'm not sure what you're trying to say, but I'm not sure what you're talking about."
T211,A,No. It's okay. I'm sorry.,uncertainty_hedge,,"Do you think it's wrong to use the word ""sex"" in the same sentence as ""gay"", "" lesbian"", ""bisexual"", or ""queer""?"
T211,Q,Where do you get them from?,,,"They're cute, they're cuddly, and they're made from some of the world's rarest and most endangered animals - from elephants to rhinos to lions."
T211,A,We have them on a folder in our shared W drive on a computer system.,,,We are trying to find out how to get rid of some of our old photographs that have been lying around for a long time in our attic.
T211,Q,Okay. Do you know where the -- you're telling me where the certificates are kept and I'm grateful for that. Do you know where the certificates come from?,disfluency_correction,,Do you know where the certificates are kept and I'm grateful that you're telling me where the certificates are kept and I'm grateful?
T211,A,I don't know where they originated from. No.,uncertainty_hedge,,"Do you know the origin of the words ""squid"" and ""squid"", two words that have been used in the English language since the 16th Century?"
T211,Q,"Okay. In other words, when you run out of them do you know where to go and get them?",cond_real,,"What do you do when you run out of your Pokemon Go characters, and you don't know where to get them, or what to do about it?"
T211,A,In the folder that's on our computer. They're saved on our computer.,,,These are some of the pictures that we've taken over the past few days.<n> They're saved on our computer.<n> ...and they're all on our computer.
T211,Q,Okay. And have they -- have those certificates been in use since you started the Costello Agency?,disfluency_correction,,"As part of our series of letters from Irish journalists, we're going to look at some of the more unusual letters you've written over the years."
T211,A,Yes.,,,
T211,Q,And they're still in use?,,,"They've been used for centuries, but are they still part of our daily lives, as we've been told by our parents and our teachers?"
T211,A,Yes.,,,
T211,Q,Okay. And does State Farm know that you use those?,,,"Do you use your phone's text messages or iMessages to contact your insurance company, or do you just use them to check in with your friends?"
T211,A,I don't know.,uncertainty_hedge,,"Is this the first time you've heard me say ""I don't know"", or is it the first time you've heard me say ""I don't know""?"
T211,Q,Do you ever transmit those to State Farm?,,,How often do you get a call from your insurance company saying you have a virus on your computer?... or a call from your boss saying you have a virus on your phone?
T211,A,No.,,,
T211,Q,Okay. Ever?,,,"Do you remember when you were a kid and your parents would say, ""I don't know what you're talking about, but I don't know what you're talking about, but I know what you're talking about."""
T211,A,No.,,,
T211,Q,Alright. And what are they used for?,,,"In our series of letters from African journalists, filmmaker and columnist Femi Adetiba looks at some of the most common phrases used in the continent."
T211,A,They're used to share a portion of some insurance information in regards to a policy for a customer.,,,"Insurance companies use so-called ""surveillance companies"" to share information with each other, according to the BBC's economics editor Paul Adams."
T211,Q,Okay. But -- and I understand that what you're telling me is that they're used to share information with a customer.,disfluency_correction,,You're telling me that Facebook shares your personal information with third-party companies?...TrademarkiaTrademarkiaTrademarkiaTrademarkiaTrademarkiaTrademarkiaTrademarkiaTrademarkiaTrademarkiaTrademarkiaTrademarkiaTrademarkiaTrademarkiaTrademarkiaTrademarkiaTrademarkiaTrademarkiaTrademarkiaTrademarkiaTrademarkiaTrademarkiaTrademarkiaTrademarkiaTrademarkiaTrademarkiaTrademarkiaTrademarkiaTrademarkiaTrademarkiaTrademarkiaTrademarkiaTrademarkiaTrademarkiaTrademarkiaTrademarkiaTrademarkiaTrademarkiaTrademarkiaTrademarkiaTrademarkiaTrademarkiaTrademarkiaTrademarkiaTrademarkiaTrademarkiaTrademarkiaTrademarkiaTrademarkiaTrademarkiaTrademarkiaTrademarkiaTrademarkiaTrademarkiaTrademarkiaTrademarkiaTrademarkiaTrademarkiaTrademarkiaTrademarkiaTrademarkiaTrademarkiaTrademarkiaTrademarkiaTrademarkiaTrademarkiaTrademarkiaTrademarkiaTrademarkiaTrademarkiaTrademarkiaTrademarkiaTrademarkiaTrademarkiaTrademarkiaTrademarkiaTrademarkiaTrademarkiaTrademarkiaTrademarkiaTrademarkiaTrademarkiaTrademarkiaTrademarkiaTrademarkiaTrademarkiaTrademarkiaTrademarkiaTrademarkiaTrademarkiaTrademarkiaTrademarkiaTrademarkiaTrademarkiaTrademarkiaTrademarkiaTrademarkiaTrademarkiaTrademarkiaTrademarkiaTrademarkiaTrademarkiaTrademarkiaTrademarkiaTrademarkiaTrademarkiaTrademarkiaTrademarkiaTrademarkia
T211,A,Yes.,,,
T211,Q,Are they used for any other purpose?,,,"What are the benefits of wearing earmuffs in public places such as schools, hospitals, parks, and on public transport, and how do you know if they are safe?"
T211,A,The customers will typically ask for them so they can provide them to an employer or if they're like a contractor to show somebody they're working for that they have insurance on a vehicle.,,,The US Department of Motor Vehicles (DMV) has released a list of what it says are the most common types of driver's licenses.
T211,Q,"So in other words, it's used as proof of insuring coverage?",,,"In the UK, the pound is known as the ""pound"" because it's used as a legal tender by insurance companies to buy goods and services from other currencies."
