ID,Excerpt,Feature,SubFeature,GoldSummary,t5_summary,flan_t5_summary
1.0,I might have seen him in the lobby,Hedge,Modal verb,The deponent says they might have seen him in the lobby,"he might have seen him in the lobby . he's a tycoon, but he doesn't seem to mind if you've seen him .","I might have seen him in the lobby, I might have seen him in the lobby, I might have seen him in the lobby."
2.0,I probably saw the car at the intersection,Hedge,Adverbial hedge,The deponent states they probably saw the car at the intersection,the car was probably at the intersection . i probably saw the car at the junction .,"I probably saw the car at the intersection, I probably saw the car at the intersection, I probably saw the car at the intersection,"
3.0,I don't know if the door was locked,Hedge,Phrase hedge,The deponent says they don't know if the door was locked,I don't know if the door was locked or if it was locked .,"I don't know if the door was locked, I don't know if the door was locked, I don't know"
4.0,It seems the file was misplaced,Hedge,Lexical hedge,The deponent indicates it seems the file was misplaced,the file appears to have been misplaced . it seems the file was lost .,"It seems the file was misplaced, it seems the file was misplaced, it seems the file was misplaced."
5.0,I think he was present that day,Hedge,Phrase hedge,The deponent thinks he was present that day,"I think he was present that day that day . he had a great time, and was a good man .","I think he was present that day, I think he was present that day, I think he was present."
6.0,there is likely a discrepancy in the report,Hedge,Adverbial hedge,The deponent suggests there is likely a discrepancy in the report,there is likely a discrepancy in the report . the report is likely to be a skewed interpretation of the findings . there is also a likely discrepany in the data .,"The report is based on a number of factors, including a lack of a clear definition of what constitutes a ""deficit"""
7.0,he wouldn't remember the details,Hedge,Modal verb,The deponent says he wouldn't remember the details,"he wouldn't remember the details . he won't recall the details, but he'd like to be able to tell you.","he wouldn't remember the details, he told the jury he'd never heard of it."
8.0,maybe the document is outdated,Hedge,Discourse marker,The deponent posits maybe the document was outdated,maybe the document is outdated . the document may be outdated if the document has not been updated .,"the document may be outdated, but it's still a good document to keep in your possession."
9.0,She possibly left before noon,Hedge,Adverbial hedge,The deponent indicates she possibly left before noon,"She possibly left before noon, according to a spokesman for the fbi .","She may have left before noon, according to a police report, but she did not say when she did so."
10.0,I assume the meeting was postponed.,Hedge,Phrase hedge,The deponent states that they assume the meeting was postponed.,the meeting was postponed . i assume it was rescheduled .,I assume the meeting was postponed. I assume the meeting was cancelled. I assume the meeting was postponed.
11.0,It could be that the email got lost.,Hedge,Modal verb,The deponent states that it could be that the email got lost.,it could be that the email got lost . the email could have been lost if the email was not opened properly .,"It could be that the email got lost, or that the email was not delivered to the intended recipient."
12.0,Perhaps they misplaced the file.,Hedge,Discourse marker,The deponent states that perhaps they misplaced the file.,"a file may have been misplaced, but it's possible they've redirected it .",The judge ruled that the defendants did not have the right to file a lawsuit against them.
13.0,I suspect he might have left early.,Hedge,Phrase hedge,The deponent states that they suspect he might have left early.,"he might have left early, he says . he's a good guy, but i'm not sure if he left early .",I suspect he might have left early. I suspect he might have left early. I suspect he might have left early. I suspect he might have left early.
14.0,I reckon she was unaware.,Hedge,Phrase hedge,The deponent states that they reckon she was unaware.,"I reckon she wasn't aware of it . she's a good woman, but she didn't know what she was doing .",I don't think she was aware of the fact that she was in a coma.
15.0,It appears they didn’t receive the notice.,Hedge,Lexical hedge,The deponent states that it appears they didn’t receive the notice.,it appears they didn’t receive the notice . the notice appears to have been sent to them by a different company than the one they received .,"It appears they didn’t receive the notice, according to a lawyer for the plaintiffs in the lawsuit."
16.0,They seem to have forgotten the deadline.,Hedge,Lexical hedge,The deponent states that they seem to have forgotten the deadline.,the deadline seems to have forgotten the deadline . the deadline has been pushed back to the end of november .,"They seem to have forgotten the deadline, according to a spokesman for the U.S. Department of Justice."
17.0,I would say the report is incomplete.,Hedge,Phrase hedge,The deponent states that they would say the report is incomplete.,"the report is incomplete, i would say . the report has not been properly drafted .",I would say the report is incomplete. I would say the report is incomplete. I would say the report is incomplete.
18.0,I bet the date has changed.,Hedge,Phrase hedge,The deponent states that they bet the date has changed.,I bet the date has changed . i bet it's been a long time since i last saw you .,I bet the date has changed. I bet the date has changed. I bet the date has changed.
